Disease,Symptoms,Severity,Precautions,Diet_Recommendations,Description
Conjunctivitis,vision loss;sensitivity to light;headache;tremor,Moderate,Regular medical follow-up and monitoring required,Probiotic foods and gut-healthy nutrition,Serious ophthalmological condition with potential complications
Pterygium,paralysis;confusion;dry eyes;memory loss;headache;numbness,Moderate,Specialist consultation recommended,Calcium and vitamin D rich foods,Serious ophthalmological condition with potential complications
Pinguecula,tremor;confusion;watery eyes,Mild,Primary care consultation if symptoms persist,Calcium and vitamin D rich foods,Chronic ophthalmological disease requiring ongoing care
Chalazion,blurred vision;tremor;sensitivity to light,Severe,Emergency intervention and life support may be necessary,Anti-inflammatory diet rich in omega-3 fatty acids,ophthalmological condition requiring medical management
Hordeolum,floaters;vision loss;confusion;blurred vision,Moderate,Medication compliance and lifestyle modifications needed,"Low sodium, heart-healthy Mediterranean diet",Chronic ophthalmological disease requiring ongoing care
Blepharitis,sensitivity to light;eye pain;watery eyes;tingling;blurred vision,Severe,Emergency intervention and life support may be necessary,Probiotic foods and gut-healthy nutrition,Serious ophthalmological condition with potential complications
Ptosis,tingling;eye pain;dry eyes;paralysis,Severe,Hospitalization and intensive monitoring needed,"High fiber, low processed food diet",ophthalmological condition requiring medical management
Strabismus,dizziness;memory loss;headache;blurred vision;floaters;tremor;watery eyes,Mild,Self-care measures and symptom monitoring,Diabetic-friendly low glycemic index foods,Serious ophthalmological condition with potential complications
Amblyopia,eye pain;dry eyes;floaters,Moderate,Specialist consultation recommended,Balanced nutrition with adequate protein and vitamins,ophthalmological condition requiring medical management
Refractive Errors,memory loss;vision loss;tremor;floaters;blurred vision;numbness;seizures,Mild,Self-care measures and symptom monitoring,"Low sodium, heart-healthy Mediterranean diet",Acute ophthalmological condition needing prompt treatment
Otitis Media,numbness;nasal congestion;paralysis;sore throat;confusion;tingling,Severe,Urgent specialist consultation required,Probiotic foods and gut-healthy nutrition,Complex otolaryngological disorder affecting quality of life
Otitis Externa,ear pain;dizziness;seizures;headache;confusion;tingling;sneezing,Mild,Over-the-counter medications and rest,"High fiber, low processed food diet",Serious otolaryngological condition with potential complications
Chronic Otitis Media,seizures;sneezing;memory loss;tremor,Moderate,Regular diagnostic testing and assessment required,Probiotic foods and gut-healthy nutrition,Chronic otolaryngological disease requiring ongoing care
Cholesteatoma,hearing loss;ear pain;seizures;numbness,Moderate,Specialist consultation recommended,Adequate hydration and nutrient-dense foods,Complex otolaryngological disorder affecting quality of life
Otosclerosis,memory loss;tinnitus;headache,Moderate,Regular diagnostic testing and assessment required,Adequate hydration and nutrient-dense foods,Serious otolaryngological condition with potential complications
Meniere Disease,seizures;hearing loss;numbness;nasal congestion;tremor;confusion,Mild,Primary care consultation if symptoms persist,Calcium and vitamin D rich foods,Serious otolaryngological condition with potential complications
Acoustic Neuroma,sneezing;sore throat;memory loss;dizziness;tinnitus;hoarse voice,Severe,Hospitalization and intensive monitoring needed,"Soft diet with small, frequent meals",otolaryngological condition requiring medical management
Sudden Sensorineural Hearing Loss,seizures;ear pain;confusion;headache;sore throat;memory loss,Severe,Hospitalization and intensive monitoring needed,Adequate hydration and nutrient-dense foods,otolaryngological condition requiring medical management
Tinnitus,numbness;paralysis;ear pain;nasal congestion,Mild,Over-the-counter medications and rest,Probiotic foods and gut-healthy nutrition,Chronic otolaryngological disease requiring ongoing care
Hyperacusis,sore throat;sneezing;runny nose;ear pain,Mild,Self-care measures and symptom monitoring,"Soft diet with small, frequent meals",Acute otolaryngological condition needing prompt treatment
Vestibular Neuritis,numbness;dizziness;memory loss;tingling;runny nose,Mild,Over-the-counter medications and rest,Diabetic-friendly low glycemic index foods,Serious otolaryngological condition with potential complications
Benign Paroxysmal Positional Vertigo,confusion;memory loss;sore throat;nasal congestion;paralysis;dizziness,Severe,Immediate emergency medical attention required,Iron-rich foods with vitamin C enhancement,Chronic otolaryngological disease requiring ongoing care
Sinusitis,nasal congestion;confusion;paralysis;hoarse voice;hearing loss;runny nose,Mild,Primary care consultation if symptoms persist,Adequate hydration and nutrient-dense foods,Chronic otolaryngological disease requiring ongoing care
Nasal Polyps,hearing loss;seizures;headache;paralysis;dizziness,Mild,Lifestyle modifications and preventive measures,Calcium and vitamin D rich foods,Acute otolaryngological condition needing prompt treatment
Deviated Septum,sneezing;tinnitus;paralysis,Mild,Self-care measures and symptom monitoring,Iron-rich foods with vitamin C enhancement,Acute otolaryngological condition needing prompt treatment
Rhinitis,tinnitus;seizures;sore throat,Severe,Hospitalization and intensive monitoring needed,Calcium and vitamin D rich foods,Chronic otolaryngological disease requiring ongoing care
Epistaxis,tremor;hearing loss;ear pain;sneezing;numbness;confusion;sore throat,Severe,Emergency intervention and life support may be necessary,Calcium and vitamin D rich foods,Complex otolaryngological disorder affecting quality of life
Laryngitis,nasal congestion;confusion;numbness;sneezing;memory loss;seizures;tinnitus,Mild,Lifestyle modifications and preventive measures,"High fiber, low processed food diet",Chronic otolaryngological disease requiring ongoing care
Vocal Cord Paralysis,headache;sore throat;ear pain,Mild,Self-care measures and symptom monitoring,Balanced nutrition with adequate protein and vitamins,Complex otolaryngological disorder affecting quality of life
Vocal Cord Nodules,tinnitus;headache;seizures;numbness,Mild,Self-care measures and symptom monitoring,Adequate hydration and nutrient-dense foods,Chronic otolaryngological disease requiring ongoing care
Laryngeal Cancer,ear pain;paralysis;tingling;tremor,Severe,Urgent specialist consultation required,Probiotic foods and gut-healthy nutrition,Serious otolaryngological condition with potential complications
Pharyngitis,headache;seizures;ear pain;dizziness;nasal congestion;memory loss;confusion,Moderate,Regular medical follow-up and monitoring required,"Low sodium, heart-healthy Mediterranean diet",Chronic otolaryngological disease requiring ongoing care
Tonsillitis,hearing loss;confusion;tinnitus,Mild,Primary care consultation if symptoms persist,Anti-inflammatory diet rich in omega-3 fatty acids,Acute otolaryngological condition needing prompt treatment
Peritonsillar Abscess,memory loss;paralysis;seizures;tremor;runny nose;dizziness,Mild,Lifestyle modifications and preventive measures,Adequate hydration and nutrient-dense foods,Chronic otolaryngological disease requiring ongoing care
Epiglottitis,tingling;hearing loss;ear pain;numbness;runny nose;nasal congestion,Moderate,Medication compliance and lifestyle modifications needed,Iron-rich foods with vitamin C enhancement,Acute otolaryngological condition needing prompt treatment
Endometriosis,chills;night sweats;fever;weight gain;kidney pain;loss of appetite;painful urination,Moderate,Specialist consultation recommended,Calcium and vitamin D rich foods,gynecological condition requiring medical management
Adenomyosis,night sweats;pelvic pain;painful urination;kidney pain,Mild,Over-the-counter medications and rest,"Soft diet with small, frequent meals",Acute gynecological condition needing prompt treatment
Uterine Fibroids,fever;loss of appetite;painful urination;fatigue;kidney pain;weakness;weight gain,Mild,Over-the-counter medications and rest,"High fiber, low processed food diet",gynecological condition requiring medical management
Ovarian Cysts,weight gain;weakness;night sweats;weight loss;chills;blood in urine,Moderate,Specialist consultation recommended,"Low sodium, heart-healthy Mediterranean diet",Acute gynecological condition needing prompt treatment
Polycystic Ovary Syndrome,weight loss;night sweats;painful urination;pelvic pain,Moderate,Specialist consultation recommended,Anti-inflammatory diet rich in omega-3 fatty acids,Complex gynecological disorder affecting quality of life
Endometrial Cancer,fever;weight gain;weakness;night sweats;kidney pain,Severe,Urgent specialist consultation required,Iron-rich foods with vitamin C enhancement,Chronic gynecological disease requiring ongoing care
Ovarian Cancer,fatigue;weakness;kidney pain;painful urination;fever;weight gain,Severe,Immediate emergency medical attention required,Iron-rich foods with vitamin C enhancement,Chronic gynecological disease requiring ongoing care
Cervical Cancer,weakness;blood in urine;kidney pain;fever;frequent urination;night sweats,Severe,Urgent specialist consultation required,Adequate hydration and nutrient-dense foods,Acute gynecological condition needing prompt treatment
Vulvar Cancer,night sweats;weight loss;incontinence;fatigue;pelvic pain,Severe,Urgent specialist consultation required,"High fiber, low processed food diet",Chronic gynecological disease requiring ongoing care
Pelvic Inflammatory Disease,painful urination;loss of appetite;weakness;pelvic pain;weight gain,Moderate,Medication compliance and lifestyle modifications needed,Balanced nutrition with adequate protein and vitamins,Serious gynecological condition with potential complications
Bacterial Vaginosis,loss of appetite;fever;incontinence;weakness;frequent urination;blood in urine;painful urination,Moderate,Regular diagnostic testing and assessment required,Adequate hydration and nutrient-dense foods,Complex gynecological disorder affecting quality of life
Vulvovaginal Candidiasis,fever;frequent urination;weight loss;kidney pain,Moderate,Medication compliance and lifestyle modifications needed,Calcium and vitamin D rich foods,Acute gynecological condition needing prompt treatment
Trichomoniasis,painful urination;weakness;weight loss;incontinence;weight gain;pelvic pain,Mild,Over-the-counter medications and rest,"Low sodium, heart-healthy Mediterranean diet",Chronic gynecological disease requiring ongoing care
Genital Herpes,kidney pain;loss of appetite;weight gain;night sweats,Moderate,Regular diagnostic testing and assessment required,"Low sodium, heart-healthy Mediterranean diet",Chronic gynecological disease requiring ongoing care
Human Papillomavirus,pelvic pain;weakness;painful urination;weight gain;weight loss,Severe,Immediate emergency medical attention required,"Soft diet with small, frequent meals",Serious gynecological condition with potential complications
Menorrhagia,kidney pain;weakness;weight loss;fatigue;fever,Moderate,Medication compliance and lifestyle modifications needed,"Low sodium, heart-healthy Mediterranean diet",gynecological condition requiring medical management
Dysmenorrhea,frequent urination;blood in urine;kidney pain;pelvic pain;night sweats,Mild,Lifestyle modifications and preventive measures,Balanced nutrition with adequate protein and vitamins,Acute gynecological condition needing prompt treatment
Amenorrhea,night sweats;weakness;painful urination;fever;weight gain,Severe,Emergency intervention and life support may be necessary,Diabetic-friendly low glycemic index foods,Serious gynecological condition with potential complications
Menopause,night sweats;pelvic pain;weakness;chills;kidney pain,Severe,Emergency intervention and life support may be necessary,Anti-inflammatory diet rich in omega-3 fatty acids,Serious gynecological condition with potential complications
Premature Ovarian Failure,frequent urination;kidney pain;loss of appetite,Severe,Immediate emergency medical attention required,Anti-inflammatory diet rich in omega-3 fatty acids,gynecological condition requiring medical management
Ectopic Pregnancy,loss of appetite;weight gain;fever;night sweats,Severe,Hospitalization and intensive monitoring needed,"Low sodium, heart-healthy Mediterranean diet",gynecological condition requiring medical management
Miscarriage,weight gain;weakness;night sweats,Moderate,Regular diagnostic testing and assessment required,"Low sodium, heart-healthy Mediterranean diet",Complex gynecological disorder affecting quality of life
Preeclampsia,chills;painful urination;fever;frequent urination,Mild,Self-care measures and symptom monitoring,Adequate hydration and nutrient-dense foods,gynecological condition requiring medical management
Gestational Diabetes,fever;weakness;kidney pain,Moderate,Regular diagnostic testing and assessment required,Diabetic-friendly low glycemic index foods,Acute gynecological condition needing prompt treatment
Benign Prostatic Hyperplasia,fatigue;weight loss;incontinence;pelvic pain;night sweats;chills,Moderate,Medication compliance and lifestyle modifications needed,Diabetic-friendly low glycemic index foods,Serious urological condition with potential complications
Prostate Cancer,pelvic pain;painful urination;kidney pain;fatigue;frequent urination;loss of appetite;weight loss,Severe,Urgent specialist consultation required,Probiotic foods and gut-healthy nutrition,Serious urological condition with potential complications
Prostatitis,kidney pain;pelvic pain;fever,Moderate,Specialist consultation recommended,"Low sodium, heart-healthy Mediterranean diet",Acute urological condition needing prompt treatment
Erectile Dysfunction,fever;weight loss;pelvic pain;painful urination;fatigue;kidney pain;weakness,Mild,Lifestyle modifications and preventive measures,Anti-inflammatory diet rich in omega-3 fatty acids,Chronic urological disease requiring ongoing care
Testicular Cancer,loss of appetite;fever;incontinence;pelvic pain;painful urination;frequent urination;chills,Severe,Urgent specialist consultation required,Adequate hydration and nutrient-dense foods,Serious urological condition with potential complications
Testicular Torsion,frequent urination;fever;chills;pelvic pain;weight gain,Severe,Hospitalization and intensive monitoring needed,"Soft diet with small, frequent meals",Complex urological disorder affecting quality of life
Epididymitis,weight loss;kidney pain;weakness;pelvic pain,Mild,Lifestyle modifications and preventive measures,"Soft diet with small, frequent meals",urological condition requiring medical management
Orchitis,blood in urine;weight gain;kidney pain;fatigue;incontinence;fever,Moderate,Regular medical follow-up and monitoring required,"Low sodium, heart-healthy Mediterranean diet",urological condition requiring medical management
Varicocele,pelvic pain;frequent urination;kidney pain;incontinence;weakness;fever;blood in urine,Severe,Emergency intervention and life support may be necessary,"Soft diet with small, frequent meals",Chronic urological disease requiring ongoing care
Hydrocele,incontinence;fever;night sweats;chills;painful urination;blood in urine;weight gain,Moderate,Specialist consultation recommended,Probiotic foods and gut-healthy nutrition,urological condition requiring medical management
Kidney Stones,loss of appetite;fever;pelvic pain;kidney pain;blood in urine;incontinence;painful urination,Moderate,Medication compliance and lifestyle modifications needed,Probiotic foods and gut-healthy nutrition,Complex urological disorder affecting quality of life
Renal Cell Carcinoma,chills;incontinence;loss of appetite;blood in urine;weight gain;frequent urination;pelvic pain,Severe,Hospitalization and intensive monitoring needed,"High fiber, low processed food diet",Complex urological disorder affecting quality of life
Bladder Cancer,frequent urination;kidney pain;blood in urine;weight loss;weakness;pelvic pain;weight gain,Severe,Emergency intervention and life support may be necessary,Adequate hydration and nutrient-dense foods,Serious urological condition with potential complications
Transitional Cell Carcinoma,loss of appetite;weight loss;kidney pain;night sweats;weight gain;weakness;painful urination,Severe,Hospitalization and intensive monitoring needed,Diabetic-friendly low glycemic index foods,Serious urological condition with potential complications
Chronic Kidney Disease,night sweats;pelvic pain;incontinence;frequent urination;painful urination,Moderate,Medication compliance and lifestyle modifications needed,"Low sodium, heart-healthy Mediterranean diet",urological condition requiring medical management
Acute Kidney Injury,incontinence;fever;blood in urine;painful urination;frequent urination,Moderate,Medication compliance and lifestyle modifications needed,"Low sodium, heart-healthy Mediterranean diet",Serious urological condition with potential complications
Glomerulonephritis,weight loss;fatigue;pelvic pain;chills;night sweats,Moderate,Regular medical follow-up and monitoring required,"High fiber, low processed food diet",Acute urological condition needing prompt treatment
Nephrotic Syndrome,frequent urination;loss of appetite;kidney pain;weight gain;fatigue;blood in urine;chills,Severe,Hospitalization and intensive monitoring needed,Balanced nutrition with adequate protein and vitamins,Chronic urological disease requiring ongoing care
Polycystic Kidney Disease,weight loss;incontinence;chills;painful urination;fatigue;weight gain;pelvic pain,Moderate,Regular medical follow-up and monitoring required,Diabetic-friendly low glycemic index foods,Serious urological condition with potential complications
Urinary Tract Infection,pelvic pain;fever;painful urination;fatigue,Severe,Hospitalization and intensive monitoring needed,Probiotic foods and gut-healthy nutrition,Serious urological condition with potential complications
Pyelonephritis,weight gain;fatigue;frequent urination;painful urination,Severe,Immediate emergency medical attention required,"High fiber, low processed food diet",Chronic urological disease requiring ongoing care
Cystitis,frequent urination;fever;incontinence;weight loss;weakness;weight gain;night sweats,Moderate,Regular diagnostic testing and assessment required,Iron-rich foods with vitamin C enhancement,urological condition requiring medical management
Urethritis,frequent urination;incontinence;fever,Moderate,Medication compliance and lifestyle modifications needed,Anti-inflammatory diet rich in omega-3 fatty acids,Chronic urological disease requiring ongoing care
Overactive Bladder,night sweats;chills;blood in urine;fever;weight gain;painful urination,Moderate,Medication compliance and lifestyle modifications needed,"Soft diet with small, frequent meals",Complex urological disorder affecting quality of life
Urinary Incontinence,night sweats;pelvic pain;frequent urination;weight gain;fever;chills;blood in urine,Moderate,Regular diagnostic testing and assessment required,Diabetic-friendly low glycemic index foods,Acute urological condition needing prompt treatment
Neurogenic Bladder,chills;pelvic pain;weight loss;loss of appetite,Mild,Self-care measures and symptom monitoring,Balanced nutrition with adequate protein and vitamins,Acute urological condition needing prompt treatment
Systemic Lupus Erythematosus,vomiting;chest tightness;stiffness;skin rash;weight gain;fever;sensitivity to light,Severe,Urgent specialist consultation required,Calcium and vitamin D rich foods,Complex autoimmune disorder affecting quality of life
Rheumatoid Arthritis,shortness of breath;tingling;bloating;limited mobility;dry skin;hemoptysis;paralysis,Moderate,Regular medical follow-up and monitoring required,Calcium and vitamin D rich foods,Acute autoimmune condition needing prompt treatment
Sjögren Syndrome,weight gain;confusion;muscle pain;dizziness;tinnitus,Moderate,Medication compliance and lifestyle modifications needed,Adequate hydration and nutrient-dense foods,Chronic autoimmune disease requiring ongoing care
Scleroderma,sputum production;ear pain;chest pain;constipation,Moderate,Medication compliance and lifestyle modifications needed,Balanced nutrition with adequate protein and vitamins,Complex autoimmune disorder affecting quality of life
Mixed Connective Tissue Disease,wheezing;dry eyes;seizures;eye pain;paralysis,Severe,Immediate emergency medical attention required,Diabetic-friendly low glycemic index foods,autoimmune condition requiring medical management
Polymyositis,painful urination;swelling;redness;watery eyes;dry eyes,Severe,Hospitalization and intensive monitoring needed,Adequate hydration and nutrient-dense foods,Chronic autoimmune disease requiring ongoing care
Dermatomyositis,eye pain;chills;vision loss;constipation,Severe,Urgent specialist consultation required,"High fiber, low processed food diet",Acute autoimmune condition needing prompt treatment
Vasculitis,numbness;diarrhea;heartburn;vision loss;wheezing;difficulty breathing,Mild,Lifestyle modifications and preventive measures,Anti-inflammatory diet rich in omega-3 fatty acids,Serious autoimmune condition with potential complications
Giant Cell Arteritis,blurred vision;watery eyes;swelling;skin lesions;swelling;headache;paralysis,Moderate,Medication compliance and lifestyle modifications needed,Iron-rich foods with vitamin C enhancement,Chronic autoimmune disease requiring ongoing care
Takayasu Arteritis,dry eyes;nasal congestion;weakness;dry skin,Severe,Emergency intervention and life support may be necessary,"Low sodium, heart-healthy Mediterranean diet",autoimmune condition requiring medical management
Polyarteritis Nodosa,cold extremities;confusion;pelvic pain;headache;tingling,Severe,Emergency intervention and life support may be necessary,Calcium and vitamin D rich foods,Acute autoimmune condition needing prompt treatment
Microscopic Polyangiitis,paralysis;chest tightness;wheezing;back pain;dizziness;pelvic pain;tingling,Moderate,Regular diagnostic testing and assessment required,Diabetic-friendly low glycemic index foods,Complex autoimmune disorder affecting quality of life
Granulomatosis with Polyangiitis,bloating;tremor;itching;hoarse voice,Mild,Self-care measures and symptom monitoring,Probiotic foods and gut-healthy nutrition,Chronic autoimmune disease requiring ongoing care
Eosinophilic Granulomatosis,ear pain;tingling;incontinence;skin lesions,Severe,Immediate emergency medical attention required,Diabetic-friendly low glycemic index foods,Serious autoimmune condition with potential complications
Behçet Disease,sleep problems;neck pain;hearing loss;tinnitus;dry skin;tingling,Mild,Lifestyle modifications and preventive measures,Balanced nutrition with adequate protein and vitamins,Chronic autoimmune disease requiring ongoing care
Antiphospholipid Syndrome,cold extremities;abdominal pain;fatigue;sneezing;palpitations,Severe,Hospitalization and intensive monitoring needed,Balanced nutrition with adequate protein and vitamins,Acute autoimmune condition needing prompt treatment
Inflammatory Bowel Disease,anxiety;chills;sneezing,Mild,Primary care consultation if symptoms persist,Calcium and vitamin D rich foods,Chronic autoimmune disease requiring ongoing care
Primary Biliary Cholangitis,tingling;bloating;sleep problems;swelling,Severe,Emergency intervention and life support may be necessary,Probiotic foods and gut-healthy nutrition,Serious autoimmune condition with potential complications
Primary Sclerosing Cholangitis,confusion;fatigue;kidney pain,Severe,Emergency intervention and life support may be necessary,Balanced nutrition with adequate protein and vitamins,Acute autoimmune condition needing prompt treatment
Autoimmune Hepatitis,painful urination;pelvic pain;difficulty swallowing;ear pain,Severe,Hospitalization and intensive monitoring needed,"High fiber, low processed food diet",Chronic autoimmune disease requiring ongoing care
Type 1 Diabetes Mellitus,wheezing;vision loss;abdominal pain;dry skin,Moderate,Specialist consultation recommended,"Low sodium, heart-healthy Mediterranean diet",Complex autoimmune disorder affecting quality of life
Hashimoto Thyroiditis,swelling;anxiety;sensitivity to light;hemoptysis;mood changes,Severe,Emergency intervention and life support may be necessary,"Soft diet with small, frequent meals",Chronic autoimmune disease requiring ongoing care
Graves Disease,wheezing;muscle pain;weakness,Moderate,Specialist consultation recommended,Balanced nutrition with adequate protein and vitamins,autoimmune condition requiring medical management
Addison Disease,wheezing;abdominal pain;redness;neck pain;cold extremities,Mild,Over-the-counter medications and rest,"Low sodium, heart-healthy Mediterranean diet",Acute autoimmune condition needing prompt treatment
Acute Lymphoblastic Leukemia,weight gain;weakness;fatigue;weakness;night sweats,Severe,Hospitalization and intensive monitoring needed,Probiotic foods and gut-healthy nutrition,Acute oncological condition needing prompt treatment
Acute Myeloid Leukemia,fever;weakness;weight loss;weight gain;night sweats;weight loss,Severe,Urgent specialist consultation required,"High fiber, low processed food diet",Serious oncological condition with potential complications
Chronic Lymphocytic Leukemia,weight loss;fatigue;weakness;weight gain;weakness;loss of appetite,Severe,Urgent specialist consultation required,Calcium and vitamin D rich foods,Acute oncological condition needing prompt treatment
Chronic Myeloid Leukemia,fatigue;weight loss;night sweats,Severe,Emergency intervention and life support may be necessary,Calcium and vitamin D rich foods,Acute oncological condition needing prompt treatment
Hodgkin Lymphoma,weight gain;fatigue;fever,Severe,Urgent specialist consultation required,Diabetic-friendly low glycemic index foods,Complex oncological disorder affecting quality of life
Diffuse Large B-cell Lymphoma,fatigue;chills;weakness;night sweats;weight gain,Severe,Hospitalization and intensive monitoring needed,Balanced nutrition with adequate protein and vitamins,Complex oncological disorder affecting quality of life
Follicular Lymphoma,fatigue;weight loss;weight gain;night sweats;weight loss;fatigue,Severe,Emergency intervention and life support may be necessary,Anti-inflammatory diet rich in omega-3 fatty acids,Complex oncological disorder affecting quality of life
Mantle Cell Lymphoma,fever;fatigue;night sweats;loss of appetite;weakness,Severe,Emergency intervention and life support may be necessary,"Low sodium, heart-healthy Mediterranean diet",Complex oncological disorder affecting quality of life
Marginal Zone Lymphoma,weight gain;weakness;weakness;loss of appetite,Severe,Immediate emergency medical attention required,Diabetic-friendly low glycemic index foods,Complex oncological disorder affecting quality of life
Burkitt Lymphoma,fever;night sweats;weight loss;weight gain;weight loss;loss of appetite;weakness,Severe,Emergency intervention and life support may be necessary,Calcium and vitamin D rich foods,Serious oncological condition with potential complications
T-cell Lymphoma,weight loss;fatigue;weight loss;weight gain,Severe,Immediate emergency medical attention required,"Low sodium, heart-healthy Mediterranean diet",Serious oncological condition with potential complications
Multiple Myeloma,weight loss;fatigue;weakness;fever;chills,Moderate,Specialist consultation recommended,Calcium and vitamin D rich foods,Chronic oncological disease requiring ongoing care
Waldenstrom Macroglobulinemia,fatigue;night sweats;weight loss;weakness;weight loss,Mild,Lifestyle modifications and preventive measures,Iron-rich foods with vitamin C enhancement,Acute oncological condition needing prompt treatment
Lung Cancer,weight loss;fatigue;weight gain;fatigue,Severe,Urgent specialist consultation required,"Low sodium, heart-healthy Mediterranean diet",Chronic oncological disease requiring ongoing care
Breast Cancer,weight loss;fever;night sweats,Severe,Emergency intervention and life support may be necessary,Diabetic-friendly low glycemic index foods,Chronic oncological disease requiring ongoing care
Colorectal Cancer,fever;night sweats;weight gain;fatigue,Severe,Hospitalization and intensive monitoring needed,Probiotic foods and gut-healthy nutrition,Acute oncological condition needing prompt treatment
Prostate Cancer,chills;fever;weight loss;weakness;loss of appetite;weakness,Severe,Urgent specialist consultation required,Probiotic foods and gut-healthy nutrition,Complex oncological disorder affecting quality of life
Ovarian Cancer,chills;weight loss;loss of appetite;fever,Severe,Emergency intervention and life support may be necessary,Anti-inflammatory diet rich in omega-3 fatty acids,Acute oncological condition needing prompt treatment
Pancreatic Cancer,fever;fatigue;weakness;loss of appetite,Severe,Immediate emergency medical attention required,Diabetic-friendly low glycemic index foods,Serious oncological condition with potential complications
Liver Cancer,loss of appetite;weakness;chills;weight loss;weight gain,Severe,Immediate emergency medical attention required,Calcium and vitamin D rich foods,Serious oncological condition with potential complications
Kidney Cancer,night sweats;fever;loss of appetite;weakness;weakness,Severe,Emergency intervention and life support may be necessary,"Soft diet with small, frequent meals",Complex oncological disorder affecting quality of life
Bladder Cancer,weight loss;fever;weakness;chills;fatigue;weight gain,Severe,Urgent specialist consultation required,"Soft diet with small, frequent meals",Complex oncological disorder affecting quality of life
Thyroid Cancer,weight loss;fatigue;weakness;weight gain,Severe,Urgent specialist consultation required,Calcium and vitamin D rich foods,Acute oncological condition needing prompt treatment
Head and Neck Cancer,fatigue;weight loss;fatigue,Severe,Emergency intervention and life support may be necessary,Probiotic foods and gut-healthy nutrition,oncological condition requiring medical management
Esophageal Cancer,loss of appetite;fever;weight gain;weight loss,Severe,Hospitalization and intensive monitoring needed,Adequate hydration and nutrient-dense foods,Chronic oncological disease requiring ongoing care
Gastric Cancer,weight loss;fatigue;fatigue;chills;fever,Severe,Emergency intervention and life support may be necessary,Calcium and vitamin D rich foods,Serious oncological condition with potential complications
Cervical Cancer,fatigue;weakness;weight loss;fever;chills;weakness,Severe,Immediate emergency medical attention required,"High fiber, low processed food diet",oncological condition requiring medical management
Endometrial Cancer,weight loss;fatigue;chills;weakness;fatigue;night sweats;weakness,Severe,Immediate emergency medical attention required,Iron-rich foods with vitamin C enhancement,Chronic oncological disease requiring ongoing care
Sarcomas,weight loss;weight loss;loss of appetite;night sweats;weight gain;chills,Severe,Urgent specialist consultation required,Iron-rich foods with vitamin C enhancement,oncological condition requiring medical management
Brain Tumors,loss of appetite;weight gain;fatigue;weight loss;chills;night sweats,Severe,Emergency intervention and life support may be necessary,Adequate hydration and nutrient-dense foods,Serious oncological condition with potential complications
Skin Cancer,night sweats;loss of appetite;fever,Severe,Hospitalization and intensive monitoring needed,Adequate hydration and nutrient-dense foods,oncological condition requiring medical management
Obesity,fever;redness;depression;cough;dry skin;constipation,Severe,Urgent specialist consultation required,"Low sodium, heart-healthy Mediterranean diet",Complex metabolic disorder affecting quality of life
Metabolic Syndrome,palpitations;blurred vision;tingling;seizures,Moderate,Regular diagnostic testing and assessment required,Adequate hydration and nutrient-dense foods,Chronic metabolic disease requiring ongoing care
Insulin Resistance,paralysis;dizziness;skin lesions;chest tightness,Moderate,Regular medical follow-up and monitoring required,"Low sodium, heart-healthy Mediterranean diet",Acute metabolic condition needing prompt treatment
Prediabetes,nausea;difficulty breathing;blood in urine;hemoptysis;chest tightness;redness;painful urination,Mild,Primary care consultation if symptoms persist,Diabetic-friendly low glycemic index foods,metabolic condition requiring medical management
Diabetic Ketoacidosis,sneezing;skin lesions;abdominal pain;concentration problems;weight gain;tinnitus;kidney pain,Mild,Lifestyle modifications and preventive measures,Calcium and vitamin D rich foods,Chronic metabolic disease requiring ongoing care
Hyperosmolar Hyperglycemic State,cold extremities;vomiting;sputum production,Severe,Immediate emergency medical attention required,Calcium and vitamin D rich foods,Chronic metabolic disease requiring ongoing care
Hypoglycemia,floaters;pelvic pain;shortness of breath;kidney pain;tremor,Severe,Hospitalization and intensive monitoring needed,Adequate hydration and nutrient-dense foods,Acute metabolic condition needing prompt treatment
Dyslipidemia,painful urination;muscle pain;blurred vision;chills,Mild,Over-the-counter medications and rest,Anti-inflammatory diet rich in omega-3 fatty acids,Complex metabolic disorder affecting quality of life
Familial Hypercholesterolemia,numbness;bleeding;runny nose;sleep problems,Mild,Lifestyle modifications and preventive measures,Adequate hydration and nutrient-dense foods,Serious metabolic condition with potential complications
Hypertriglyceridemia,muscle pain;dry skin;constipation,Severe,Emergency intervention and life support may be necessary,Iron-rich foods with vitamin C enhancement,metabolic condition requiring medical management
Gout,ear pain;dry skin;heartburn;dizziness;anxiety;sputum production;headache,Moderate,Medication compliance and lifestyle modifications needed,Probiotic foods and gut-healthy nutrition,Complex metabolic disorder affecting quality of life
Hyperuricemia,weight loss;floaters;dizziness,Severe,Hospitalization and intensive monitoring needed,Balanced nutrition with adequate protein and vitamins,Complex metabolic disorder affecting quality of life
Wilson Disease,leg pain;irritability;sleep problems;fever;weight gain;nasal congestion;bloating,Mild,Lifestyle modifications and preventive measures,"Soft diet with small, frequent meals",Acute metabolic condition needing prompt treatment
Hemochromatosis,weight gain;incontinence;redness;neck pain,Moderate,Regular medical follow-up and monitoring required,"Low sodium, heart-healthy Mediterranean diet",metabolic condition requiring medical management
Alpha-1 Antitrypsin Deficiency,concentration problems;joint pain;sneezing;pelvic pain;loss of appetite;kidney pain;seizures,Moderate,Medication compliance and lifestyle modifications needed,Calcium and vitamin D rich foods,metabolic condition requiring medical management
